Handle,geometry,divide and conquer,interactive,bitmasks,string suffix structures,dp,hashing,brute force,binary search,number theory,graphs,dfs and similar,combinatorics,expression parsing,fft,schedules,trees,implementation,2-sat,chinese remainder theorem,matrices,strings,meet-in-the-middle,shortest paths,ternary search,*special,sortings,probabilities,data structures,graph matchings,games,flows,greedy,constructive algorithms,dsu,math,two pointers
kkdrummer,39500,23600,42200,111000,14100,396500,31300,416100,266700,195300,205200,166400,121800,1600,4400,1700,113600,656400,5400,3000,7300,176900,10600,50400,15300,2000,286700,20800,319900,7500,55000,9200,875300,430800,52700,750600,158800
avm,8200,19600,6500,17400,0,79200,17400,92400,50900,69300,43200,42000,19500,4900,0,0,29300,164900,0,0,4600,54600,1500,18100,4300,28500,112100,10300,101100,0,10200,1300,194200,74800,12400,192400,30600
Sh0,13000,11000,27700,81000,6200,168700,28300,112700,67200,56400,79300,64800,82000,0,5200,0,49400,107300,1900,0,3300,43300,2600,12900,1300,900,90500,21300,121900,2900,11300,2400,203300,145000,22900,198900,59700
Bhj2001,78400,56400,70400,116800,18400,398700,44200,404700,278400,219100,255800,233500,113200,6200,9300,0,163100,682500,7400,5200,18200,191600,5100,64400,16800,19000,304800,30500,341000,13200,29800,30800,687700,406000,107900,732600,136000
Valters07,49700,77000,41700,187800,18700,756700,70800,555000,359200,236100,363300,343200,168800,2400,4200,2000,228400,996800,7700,3000,12900,267600,11300,104900,22700,20000,434500,9300,524100,15100,46800,13600,1131300,563500,122000,904400,216100
VocaCarlson,0,0,1800,5300,0,5400,0,12200,11500,6900,4900,1500,6200,0,0,0,0,12500,1900,0,0,3100,0,0,0,0,12800,0,5200,0,0,0,16400,8300,0,23200,7800
kunj017,28000,39100,40300,106900,5000,452700,26800,240600,157600,139000,219100,186600,135600,1600,7100,2000,123500,394300,3400,2300,19500,112600,7100,55900,16700,3000,174500,29400,262600,10600,33100,27100,537700,303300,59800,439700,103900
croxo,53300,29500,22800,89300,12700,468500,30100,256100,185000,129200,171200,179000,118100,0,4800,4000,125700,334000,3400,2600,7400,105000,6700,65900,14300,0,227700,30000,311300,10600,30400,22400,556000,295400,59300,438200,150700
I_love_geom,28300,23800,15400,56100,4200,220600,18800,171400,88200,82400,73300,66800,37900,0,1900,0,44300,189000,3400,2200,3100,50500,0,21800,4900,2000,107900,4100,143200,4300,26100,7500,289600,171900,30300,280700,71600
regex0754,27700,29600,7800,73100,5300,301200,24400,241300,145400,102100,126000,120100,84200,0,0,0,83000,443900,1900,1000,3600,128400,2900,20600,7400,4600,158900,12700,153000,1900,18900,0,462500,308900,37400,408900,102700
parentheses,19400,20500,27200,29900,0,295400,18800,248400,151100,89400,153500,164100,84900,1600,0,0,118600,298000,4200,0,8500,90800,13000,46800,5900,0,197600,4900,227100,9200,2400,5400,417400,155400,28600,320500,104300
BaluconisTima,18300,42500,67900,137200,18200,404100,57400,331700,238600,149600,158900,160100,115400,0,12400,0,97700,426100,7900,3000,9900,124300,13500,55400,16600,3000,211300,26000,317000,13100,27500,8100,547400,353900,59800,520700,167000
s_da_sailor,19100,15500,16300,46500,0,174400,9800,212700,120600,107400,85400,71100,34400,0,0,2000,39700,393600,3400,1000,1600,92900,1500,28100,6500,16100,177500,14900,114400,4000,30200,0,440100,240500,21000,388300,84200
REALBOY,29300,73000,14900,97600,10100,417900,28300,327600,193800,148400,185800,171300,99300,3600,0,4100,161900,760300,3700,0,5200,190600,13300,60200,11000,10400,252800,6800,327700,3700,39100,6000,674600,308000,83400,570000,119900
